date_UTC+8,source_images,max_edge_gt_2048,patches_gt_2500,either_exceeded
2026-06-30,21,4,9,9
2026-07-01,20,9,10,10
2026-07-02,30,12,18,18
2026-07-03,36,9,16,16
2026-07-04,32,9,18,19
2026-07-05,22,3,16,16
2026-07-06,38,8,8,8
2026-07-10,34,6,10,10
2026-07-11,7,1,2,2
2026-07-12,25,17,20,20
2026-07-13,5,1,1,1
2026-07-15,63,12,24,25
2026-07-16,52,12,19,19
2026-07-17,8,1,2,2
2026-07-18,29,11,17,17
2026-07-19,17,9,13,13
2026-07-20,9,5,6,6
2026-07-21,58,19,21,21
2026-07-22,45,33,36,36
2026-07-23,39,22,27,27
2026-07-24,34,15,19,19
2026-07-25,60,8,17,17
2026-07-26,37,14,21,21
2026-07-28,20,6,11,11
2026-07-29,44,11,17,17
2026-07-30,22,9,14,14
2026-07-31,168,63,98,98
2026-08-01,79,33,51,52
2026-08-02,129,21,63,63
2026-08-03,61,29,38,38
2026-08-04,11,4,4,4
2026-08-05,14,4,7,7
2026-08-08,237,62,96,97
2026-08-09,24,10,15,15
2026-08-11,16,7,12,12
2026-08-12,63,18,44,44
2026-08-13,56,9,45,45
2026-08-14,98,40,74,74
2026-08-15,56,21,38,39
2026-08-16,39,5,5,6
2026-08-17,25,8,13,13
2026-08-18,49,27,38,38
2026-08-19,57,37,49,49
2026-08-20,20,14,15,16
2026-08-21,37,12,18,18
2026-08-22,51,20,32,32
2026-08-23,57,29,46,47
2026-08-24,46,27,33,33
2026-08-26,81,42,57,59
2026-08-27,33,13,17,17
2026-08-28,15,7,8,8
2026-08-29,53,0,0,0
2026-08-30,149,0,0,0
2026-08-31,111,0,0,0
2026-09-01,29,0,0,0
2026-09-02,12,0,0,0
2026-09-03,2,0,0,0
2026-09-04,7,0,0,0
2026-09-05,129,58,58,58
2026-09-06,178,65,69,69
2026-09-07,95,13,15,15
2026-09-08,148,0,0,0
2026-09-09,47,0,0,0
2026-09-10,20,0,0,0
2026-09-11,83,0,0,0
2026-09-12,59,0,0,0
2026-09-13,3,0,0,0
2026-09-14,33,0,0,0
2026-09-15,10,3,3,3
2026-09-16,14,3,4,4
2026-09-17,117,3,9,9
2026-09-18,84,0,1,1
